TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT,IS_PRIMARY_KEY
dbo,log1040,fdtmLog,1,datetime,NULL,NO,NULL,YES
dbo,log1040,flngXmlKey,2,int,NULL,NO,NULL,YES
dbo,log1040,flngSequence,3,int,NULL,NO,NULL,YES
dbo,log1040,flngVer,4,int,NULL,NO,NULL,YES
dbo,log1040,flngVerLast,5,int,NULL,NO,NULL,NO
dbo,log1040,fblnForm1040SP,6,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnForm1040SR,7,tinyint,NULL,NO,NULL,NO
dbo,log1040,fstrSect30191002Cd,8,nvarchar,40,NO,NULL,NO
dbo,log1040,fblnAmended,9,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnSupersededReturn,10,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnAddressChanged,11,tinyint,NULL,NO,NULL,NO
dbo,log1040,fstrFilingStatus,12,nvarchar,1,NO,NULL,NO
dbo,log1040,fstrSpouseName,13,nvarchar,35,NO,NULL,NO
dbo,log1040,fstrNRALiteralCode,14,nvarchar,3,NO,NULL,NO
dbo,log1040,fstrQualifyingHoHChildName,15,nvarchar,35,NO,NULL,NO
dbo,log1040,fstrQualifyingHoHChildSSN,16,nvarchar,9,NO,NULL,NO
dbo,log1040,fstrQualifyingPersonFirstName,17,nvarchar,20,NO,NULL,NO
dbo,log1040,fstrQualifyingPersonLastName,18,nvarchar,20,NO,NULL,NO
dbo,log1040,fstrQualifyingPersonSSN,19,nvarchar,9,NO,NULL,NO
dbo,log1040,fstrNRASpouseName,20,nvarchar,35,NO,NULL,NO
dbo,log1040,fdtmPrimaryDateOfDeath,21,datetime,NULL,NO,NULL,NO
dbo,log1040,fdtmSpouseDateofDeath,22,datetime,NULL,NO,NULL,NO
dbo,log1040,fstrSpecialProcessingLiteralCd,23,nvarchar,50,NO,NULL,NO
dbo,log1040,fstrCombatZoneCode,24,nvarchar,25,NO,NULL,NO
dbo,log1040,fblnMainHomeInUSOverHalfYr,25,tinyint,NULL,NO,NULL,NO
dbo,log1040,fstrSpecialProcessingCdTxt,26,nvarchar,22,NO,NULL,NO
dbo,log1040,fblnPECFPrimary,27,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnPECFSpouse,28,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnVirtualCurAcquiredDurTY,29,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnPrimaryClaimedDependent,30,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnSpouseClaimedDependent,31,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnMustItemize,32,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnPrimary65OrOlder,33,tinyint,NULL,NO,NULL,NO
